match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Ligue_1 2021_167_225_2021-08-08 13:00:00,2021-08-08 13:00:00,True,225,Strasbourg,l,167,Angers,0.267011,7.0,0,221,27,3,0.3409999999999999,l,0.267011,1.41617,9.0,2,284,25,3,1.41617,2.01,3.55,4.1
Ligue_1 2021_161_225_2021-08-14 19:00:00,2021-08-14 19:00:00,False,225,Strasbourg,l,161,Paris Saint Germain,0.570058,8.0,2,454,24,5,0.0951,l,0.570058,2.90032,11.0,4,216,17,5,2.90032,13.76,7.74,1.21
Ligue_1 2021_172_225_2021-08-22 13:00:00,2021-08-22 13:00:00,True,225,Strasbourg,d,172,Troyes,2.95463,14.0,1,232,31,9,2.5298,d,2.95463,1.14502,10.0,1,325,20,1,1.14502,2.12,3.4,3.87
Ligue_1 2021_225_241_2021-08-29 13:00:00,2021-08-29 13:00:00,True,225,Strasbourg,w,241,Brest,1.22705,11.0,3,281,21,7,2.0404,w,1.22705,0.592574,11.0,1,271,21,9,0.592574,2.06,3.4,4.09
Ligue_1 2021_178_225_2021-09-12 18:45:00,2021-09-12 18:45:00,False,225,Strasbourg,l,178,Lyon,2.0448,12.0,1,345,22,4,1.6496000000000002,l,1.28471,1.69926,14.0,3,191,15,8,1.69926,6.42,4.58,1.53
Ligue_1 2021_180_225_2021-09-17 19:00:00,2021-09-17 19:00:00,True,225,Strasbourg,w,180,Metz,2.04719,10.0,3,260,29,3,2.4904,w,1.28709,0.612439,15.0,0,237,30,2,0.612439,1.9,3.58,4.6
Ligue_1 2021_210_225_2021-09-22 19:00:00,2021-09-22 19:00:00,False,225,Strasbourg,w,210,Lens,1.09537,6.0,1,425,13,2,0.3382,w,1.09537,2.68397,17.0,0,297,25,6,2.68397,3.84,3.68,2.04
Ligue_1 2021_160_225_2021-09-25 17:00:00,2021-09-25 17:00:00,True,225,Strasbourg,l,160,Lille,0.495724,10.0,1,189,23,4,0.1746,l,0.495724,2.58598,16.0,2,270,19,8,1.82589,2.84,3.33,2.71
Ligue_1 2021_166_225_2021-10-02 15:00:00,2021-10-02 15:00:00,False,225,Strasbourg,d,166,Montpellier,0.293859,6.0,1,300,23,5,0.53,d,0.293859,1.05711,12.0,1,260,29,3,1.05711,2.97,3.59,2.46
Ligue_1 2021_175_225_2021-10-17 13:00:00,2021-10-17 13:00:00,True,225,Strasbourg,w,175,Saint-Etienne,2.71053,12.0,5,283,18,3,2.6411,w,2.71053,0.931047,4.0,1,274,23,3,0.170952,2.18,3.36,3.75
Ligue_1 2021_163_225_2021-10-24 13:00:00,2021-10-24 13:00:00,False,225,Strasbourg,l,163,Rennes,1.02588,8.0,0,338,22,3,1.0917,l,1.02588,1.35771,17.0,1,172,12,7,1.35771,4.54,3.85,1.84
Ligue_1 2021_179_225_2021-10-31 14:00:00,2021-10-31 14:00:00,True,225,Strasbourg,w,179,Lorient,3.09428,15.0,4,277,29,7,2.9097,w,3.09428,0.666205,5.0,0,257,13,2,0.666205,2.03,3.48,4.12
Ligue_1 2021_168_225_2021-11-07 14:00:00,2021-11-07 14:00:00,False,225,Strasbourg,d,168,Nantes,1.92452,17.0,2,189,26,10,1.1504,d,1.92452,2.26281,20.0,2,206,18,3,2.26281,3.19,3.39,2.42
Ligue_1 2021_177_225_2021-11-21 14:00:00,2021-11-21 14:00:00,True,225,Strasbourg,d,177,Reims,2.02517,21.0,1,129,29,8,2.008,d,1.26508,1.25894,10.0,1,216,18,1,1.25894,2.03,3.39,4.25
Ligue_1 2021_171_225_2021-11-28 14:00:00,2021-11-28 14:00:00,False,225,Strasbourg,d,171,Monaco,0.945132,7.0,1,333,18,4,0.7101999999999999,d,0.185037,1.58216,8.0,1,214,26,6,0.822062,5.06,4.29,1.68
Ligue_1 2021_176_225_2021-12-01 18:00:00,2021-12-01 18:00:00,True,225,Strasbourg,w,176,Bordeaux,3.43125,19.0,5,285,25,11,2.5432,w,2.67116,1.48801,13.0,2,241,21,3,1.48801,1.74,4.15,4.78
Ligue_1 2021_170_225_2021-12-05 16:00:00,2021-12-05 16:00:00,False,225,Strasbourg,w,170,Nice,2.7263,15.0,3,298,19,6,2.322,w,2.7263,1.36817,12.0,0,194,12,5,1.36817,4.45,3.65,1.91
Ligue_1 2021_164_225_2021-12-12 16:00:00,2021-12-12 16:00:00,True,225,Strasbourg,l,164,Marseille,1.7897,11.0,0,357,23,11,2.2216,l,1.7897,0.708922,8.0,2,300,15,1,0.708922,2.54,3.42,2.99
Ligue_1 2021_180_225_2022-01-09 14:00:00,2022-01-09 14:00:00,False,225,Strasbourg,w,180,Metz,3.70382,19.0,2,245,10,9,2.9503,w,3.70382,0.2706,7.0,0,352,17,1,0.2706,1.78,3.89,4.93
Ligue_1 2021_166_225_2022-01-16 14:00:00,2022-01-16 14:00:00,True,225,Strasbourg,w,166,Montpellier,1.4597,19.0,3,264,39,11,1.7249,w,1.4597,1.02915,9.0,1,236,16,5,1.02915,2.07,3.45,3.82
Ligue_1 2021_225_270_2022-01-19 20:00:00,2022-01-19 20:00:00,False,225,Strasbourg,w,270,Clermont Foot,1.74904,15.0,2,335,37,7,2.4934,w,1.74904,0.348448,7.0,0,246,16,0,0.348448,2.26,3.64,3.17
Ligue_1 2021_176_225_2022-01-23 14:00:00,2022-01-23 14:00:00,False,225,Strasbourg,l,176,Bordeaux,1.49036,18.0,3,148,24,14,1.2177000000000002,l,1.49036,1.65394,13.0,4,263,17,2,1.65394,1.92,3.78,4.0
Ligue_1 2021_168_225_2022-02-06 14:00:00,2022-02-06 14:00:00,True,225,Strasbourg,w,168,Nantes,1.32815,13.0,1,278,25,14,2.3346000000000005,w,1.32815,0.261773,10.0,0,240,17,0,0.261773,1.78,3.91,4.62
Ligue_1 2021_167_225_2022-02-13 14:00:00,2022-02-13 14:00:00,False,225,Strasbourg,w,167,Angers,0.335367,8.0,1,392,22,0,1.3076,w,0.335367,0.258677,9.0,0,174,26,5,0.258677,2.36,3.51,3.19
Ligue_1 2021_175_225_2022-02-20 14:00:00,2022-02-20 14:00:00,False,225,Strasbourg,d,175,Saint-Etienne,1.51652,8.0,2,261,18,5,1.5307,d,1.51652,1.28968,9.0,2,224,11,2,1.28968,2.45,3.49,3.06
Ligue_1 2021_170_225_2022-02-26 13:00:00,2022-02-26 13:00:00,True,225,Strasbourg,d,170,Nice,1.03088,17.0,0,202,23,7,2.2214,d,1.03088,0.148653,3.0,0,285,10,1,0.148653,2.22,3.4,3.6
Ligue_1 2021_177_225_2022-03-06 14:00:00,2022-03-06 14:00:00,False,225,Strasbourg,d,177,Reims,0.744534,17.0,1,340,17,4,1.1264,d,0.744534,0.909924,8.0,1,263,10,3,0.909924,2.31,3.16,3.66
Ligue_1 2021_171_225_2022-03-13 14:00:00,2022-03-13 14:00:00,True,225,Strasbourg,w,171,Monaco,0.834621,11.0,1,233,25,7,1.4215,w,0.834621,0.695519,5.0,0,190,25,6,0.695519,2.61,3.26,3.01
Ligue_1 2021_179_225_2022-03-20 14:00:00,2022-03-20 14:00:00,False,225,Strasbourg,d,179,Lorient,1.33873,13.0,0,265,34,8,2.2231,d,1.33873,0.410107,9.0,0,255,23,2,0.410107,2.22,3.4,3.61
Ligue_1 2021_210_225_2022-04-03 11:00:00,2022-04-03 11:00:00,True,225,Strasbourg,w,210,Lens,2.66149,13.0,1,260,20,10,2.4171,w,1.1413,1.22404,13.0,0,287,20,5,1.22404,2.16,3.43,3.73
Ligue_1 2021_178_225_2022-04-10 17:00:00,2022-04-10 17:00:00,True,225,Strasbourg,d,178,Lyon,1.45377,15.0,1,288,37,8,0.8999,d,1.45377,2.10099,13.0,1,149,28,4,2.10099,2.53,3.53,2.91
Ligue_1 2021_172_225_2022-04-17 13:00:00,2022-04-17 13:00:00,False,225,Strasbourg,d,172,Troyes,1.83132,12.0,1,179,29,8,1.7918999999999998,d,1.07122,1.3267,11.0,1,328,27,4,0.566602,2.08,3.43,4.01
Ligue_1 2021_163_225_2022-04-20 19:00:00,2022-04-20 19:00:00,True,225,Strasbourg,w,163,Rennes,2.62063,13.0,2,426,26,9,2.5258,w,2.62063,0.851224,10.0,1,182,20,6,0.851224,2.61,3.53,2.81
Ligue_1 2021_160_225_2022-04-24 15:05:00,2022-04-24 15:05:00,False,225,Strasbourg,l,160,Lille,0.519111,11.0,0,192,27,5,1.4202,l,0.519111,0.354075,11.0,1,212,29,1,0.354075,3.3,3.38,2.37
Ligue_1 2021_161_225_2022-04-29 19:00:00,2022-04-29 19:00:00,True,225,Strasbourg,d,161,Paris Saint Germain,1.62601,14.0,3,334,28,5,1.1339,d,1.62601,1.94951,14.0,3,266,16,10,1.94951,3.78,3.95,1.98
Ligue_1 2021_225_241_2022-05-07 15:00:00,2022-05-07 15:00:00,False,225,Strasbourg,w,241,Brest,2.19446,14.0,1,215,22,10,2.5095,w,2.19446,0.774117,7.0,0,275,20,3,0.774117,1.72,4.18,4.93
Ligue_1 2021_225_270_2022-05-14 19:00:00,2022-05-14 19:00:00,True,225,Strasbourg,w,270,Clermont Foot,0.635695,11.0,1,263,27,1,1.5202,w,0.635695,0.4006,11.0,0,374,19,5,0.4006,1.47,4.76,7.05
Ligue_1 2021_164_225_2022-05-21 19:00:00,2022-05-21 19:00:00,False,225,Strasbourg,l,164,Marseille,1.45881,10.0,0,305,22,5,0.9377,l,1.45881,2.10355,17.0,4,197,20,9,2.10355,3.88,3.6,2.03
